Article,MATERIAL_CONTENT_CODE,PRODUCT_TYPES,BUSINESS_SEGMENTS,NRF_COLOR_CODE,MODEL,Sustainablity,MARKETING_CATEGORY
R55814,AT2E,1,3030975,1,16850,Recycled plastic,161
S55815,TRK4,34,822,80,FCA43,Low carbon footprint,FC0
T55816,TRK4,36,886,1,31272,Organic materials,3111
U55817,AT4T,104,89757,1,21493,Vegan,2120
V55818,DO07,205,97526,100,IXZ21,Vegan,IX0
W55819,PRUD,39,83430,1,GZT77,PFC free,GZ22
X55820,AT2F,161,3030975,273,GUU12,Reegrow,GU22
Y55821,AT4T,104,9759758,100,BTC16,Vegan,BT5
Z55822,AT2X,1,30302,50,BG537,Recycleable,BG15
A55823,PRR2,217,3079,22,KXJ90,Not Applicable,KX20
B55824,TRM3,217,8342,435,DBH61,Recycled,DB9
C55825,DO07,14,3079,665,KZT23,Low carbon footprint,KZ4
D55826,M3X,205,8342,600,30103,Recycled plastic,3022
E55827,AT2E,1,975234,1,LDP90,Primeblue nylon,LD15
F55828,M3X,267,83430,622,FBR06,Primeblue nylon,FB3
G55829,M3X,44,975348,670,FTC05,Organic materials,FT21
H55830,M3X,73,975349,1,LRN31,Organic materials,LR19
I55831,AT2E,161,3030975,1,VM874,Reegrow,VM21
J55832,AT2E,1,9752975,100,KXR92,Vegan,KX23
K55833,AT2W,202,3030975,40,BTP36,Reegrow,BT6
L55834,AT2E,1,8830,619,IPE74,Vegan,IP4
M55835,AT2E,1,3030975,1,FWS31,Recycled,FW3
N55836,AT2E,1,30934,400,FUG69,PFC free,FU11
O55837,AT4H,1,3030975,1,GVT85,Recycled,GV0
P55838,TRK4,51,30305,610,KYJ36,Primeblue nylon,KY20
Q55839,DO07,14,303034,1,GVW89,Recycled plastic,GV15
R55840,AT2E,1,97522,100,IQE26,Recycled plastic,IQ20
S55841,TRSV,253,975530,100,KYM88,Vegan,KY1
T55842,AT2E,1,3030975,100,GKD14,PFC free,GK21
U55843,TRKD,34,34230,670,IZD03,Vegan,IZ18
V55844,M3X,44,975348,540,JAC62,Recycleable,JA0
W55845,DO07,21,303034,100,GTK27,Recycleable,GT1
X55846,AT2E,1,975234,506,KZY69,Reegrow,KZ20
Y55847,TRK4,30,897530,1,ELK72,Primeblue nylon,EL25
Z55848,M3X,61,975349,997,GSW28,Primeblue nylon,GS0
A55849,TRK7,21,3079,100,LEA79,Recycleable,LE8
B55850,AT2E,1,9752975,36,FJU10,Not Applicable,FJ6
C55851,PRNA,116,303030,610,KXW00,Primeblue nylon,KX9
D55852,TRFU,45,975530,1,KYA83,Recycled plastic,KY24
E55853,AT2E,1,9752975,730,LEY97,Recycled plastic,LE6
F55854,AT2E,1,30934,1,HBP76,Not Applicable,HB21
G55855,TRK4,39,303034,1,GTF39,Vegan,GT15
H55856,ATAC,1,30308,100,IXZ69,Low carbon footprint,IX19
I55857,DO07,205,30345,1,EPD81,Reegrow,EP17
J55858,AT2V,1,3030975,1,GLN32,Recycled,GL23
K55859,TRK4,216,303034,610,KYK32,Recycled,KY17
L55860,AT27,108,89757,100,18579,Reegrow,184
M55861,AT3U,1,3030975,33,GZU64,Reegrow,GZ16
N55862,AT2X,1,3095,51,LEC99,Low carbon footprint,LE12
O55863,TRK4,24,975346,1,GUO73,Recycled,GU23
P55864,TRK4,216,303034,308,JKI25,Low carbon footprint,JK0
Q55865,TRVF,267,83430,1,HGN58,Reegrow,HG4
R55866,M3X,76,30307,1,DBD72,Primeblue nylon,DB13
S55867,AT2X,1,30302,100,JWT65,Recycleable,JW3
T55868,DO07,21,3078,300,HMU08,PFC free,HM15
U55869,DO0S,219,303030,1,FVX76,Recycled,FV10
V55870,AT4T,104,9759758,100,IYS17,Organic materials,IY10
W55871,AT2X,1,3095,1,24231,Recycleable,247
X55872,TRSV,43,975530,1,JPS22,Vegan,JP4
Y55873,AT27,1,3095,100,BTG21,Recycleable,BT9
Z55874,TRK7,267,8342,1,GHO69,Organic materials,GH5
A55875,DO76,39,303034,1,GVC49,Reegrow,GV12
B55876,DO07,206,8342,400,HBO86,Not Applicable,HB25
C55877,AT2E,1,30302,1,GVJ57,Recycleable,GV9
D55878,AT3H,1,30930,100,IWW57,Recycled plastic,IW22
E55879,AT2E,1,3030975,100,GVD04,Recycled plastic,GV12
F55880,TRK4,19,886,100,KZR92,Vegan,KZ4
G55881,AT2E,1,3095,400,LEU20,Vegan,LE19
H55882,AT2E,1,9752975,1,JEA21,Primeblue nylon,JE16
I55883,DO07,14,303030,100,GVT87,Vegan,GV6
J55884,M3X,267,975348,35,IB829,Low carbon footprint,IB3
K55885,TRK4,39,3079,690,DVH71,Reegrow,DV4
L55886,AT2R,1,3088,429,FRV11,Recycleable,FR24
M55887,AT2X,1,3098,1,GUE70,Reegrow,GU19
N55888,TRK4,30,9759758,100,GFB90,PFC free,GF7
O55889,AT2E,1,885,100,LDQ95,Recycled,LD7
P55890,AT2E,1,97522,36,FRX90,Reegrow,FR7
Q55891,AT4P,1,97534975,1,FJU27,PFC free,FJ25
R55892,AT27,1,30930,1,17801,Low carbon footprint,1725
S55893,AT2E,1,30934,400,IXK00,Reegrow,IX2
T55894,AT2E,1,9752975,100,DBF02,PFC free,DB21
U55895,AT2R,3,3085,270,KZD28,Reegrow,KZ25
V55896,AT2Y,1,30934,689,GJQ33,Recycled plastic,GJ15
W55897,TRKF,37,30305,1,FCG97,Low carbon footprint,FC11
X55898,PRJN,29,975346,100,GVW03,Recycleable,GV19
Y55899,M3X,191,9759756,100,GVR65,Reegrow,GV7
Z55900,AT28,1,3030975,301,FCB53,Low carbon footprint,FC14
A55901,TRZR,252,303030,600,GLZ07,Vegan,GL3
B55902,AT4T,104,9759758,328,JKL34,Not Applicable,JK24
C55903,M3X,44,975348,824,62463,Primeblue nylon,6223
D55904,DO07,14,303030,100,DBH03,Low carbon footprint,DB2
E55905,TRK4,16,89755,100,HJ176,Reegrow,HJ1
F55906,TRK4,19,342975,36,JQ850,Recycleable,JQ20
G55907,DO5W,14,303034,610,FCH58,Organic materials,FC1
H55908,TRK7,252,303030,35,ZB024,Organic materials,ZB16
I55909,M3X,16,9758975,700,EPE79,PFC free,EP22
J55910,AT2Q,3,3096,415,BAY92,Recycleable,BA10
K55911,TRFP,14,975530,1,BSY87,Recycleable,BS14
L55912,AT40,1,30302,1,13310,Not Applicable,1325
M55913,TRK4,37,975342,610,EPF87,Recycled plastic,EP5
N55914,AT2E,202,3088,479,DVG48,Vegan,DV11
O55915,DO01,14,3097,1,IB082,Vegan,IB22
P55916,M3X,14,975348,309,KXQ43,Recycled plastic,KX1
Q55917,DO0S,21,8342,52,KYF67,Low carbon footprint,KY3
R55918,AT2F,203,9759758,1,KZT34,Not Applicable,KZ23
S55919,DO75,44,303034,650,EPI66,PFC free,EP2
T55920,DOBJ,254,30834,100,JDY85,Recycled plastic,JD5
U55921,TRK4,34,303034,506,FBB06,Low carbon footprint,FB18
V55922,TRKJ,216,822,100,JAG47,Recycled plastic,JA4
W55923,AT2O,1,3030975,734,JAG32,Organic materials,JA22
X55924,AT4T,104,89757,328,EPE84,Low carbon footprint,EP3
Y55925,TRK4,177,303030,51,KYW80,Primeblue nylon,KY20
Z55926,AT2E,1,3092,330,KYE68,PFC free,KY22
A55927,PR0G,24,975342,1,FTA75,Recycleable,FT3
B55928,M3X,61,30307,35,LDP96,Recycled plastic,LD18
C55929,AT27,1,3095,100,GLN55,Not Applicable,GL21
D55930,AT2X,1,3095,654,HIU06,Organic materials,HI16
E55931,AT2X,1,309975,824,LEY98,Low carbon footprint,LE1
F55932,DO01,21,8342,22,23605,PFC free,2324
G55933,AT2X,1,3095,1,DVD15,Recycleable,DV11
H55934,DO07,267,303034,450,EOT82,Recycled plastic,EO5
I55935,DO07,14,303034,100,BTE96,Recycled,BT11
J55936,TRMB,16,9758975,486,FYF18,Vegan,FY22
K55937,M3X,36,9758975,486,KYJ52,Low carbon footprint,KY23
L55938,TRK4,19,342975,456,IPD27,Vegan,IP24
M55939,DO76,254,303034,1,FWQ58,Recycled plastic,FW6
N55940,AT2G,1,30302,33,IG026,Recycled,IG3
O55941,AT26,1,3030975,453,KYB72,Low carbon footprint,KY6
P55942,M3X,37,975348,309,KXO19,Vegan,KX11
Q55943,DO01,268,303034,1,EPH61,Recycled,EP5
R55944,DO6I,267,3079,1,DVI22,Vegan,DV17
S55945,AT2X,1,30930,100,IXY15,Recycled,IX25
T55946,M3X,114,975349,400,FBC51,Recycled,FB25
U55947,TRHA,39,83430,1,HJ339,Low carbon footprint,HJ7
V55948,DO01,37,303030,308,EBD50,Recycled,EB2
W55949,TRK4,30,9759758,1,FUX79,Vegan,FU8
X55950,TRKF,267,30305,1,DVD64,PFC free,DV14
Y55951,TRK4,14,97528,1,LEB78,Recycleable,LE20
Z55952,DO2Z,34,303034,1,GVJ57,Recycleable,GV7
A55953,TRKR,21,3079,690,GNG45,Organic materials,GN0
B55954,AT2X,1,3095,408,WF009,Primeblue nylon,WF20
C55955,M3X,192,9759756,100,IRS64,Vegan,IR21
D55956,M3X,39,9759758,343,KXU22,Vegan,KX20
E55957,AT39,104,9759758,1,FBC67,Primeblue nylon,FB8
F55958,M3X,24,975348,1,DRA56,Reegrow,DR13
G55959,TRKY,251,975534,506,KXM95,Recycled plastic,KX23
H55960,AT2E,1,30308,503,GTE44,Organic materials,GT0
I55961,TRK4,14,886,100,JAC25,Organic materials,JA8
J55962,DO5F,205,3099,35,EFZ78,Recycled plastic,EF10
K55963,DO07,206,3079,400,KZX02,Recycleable,KZ11
L55964,PRJP,21,8342,35,KYP42,Not Applicable,KY9
M55965,AT2X,1,30302,423,KYA48,Reegrow,KY25
N55966,AT4Y,1,30308,100,KXN52,Recycled,KX7
O55967,AT2F,1,3030975,841,LEP63,Recycleable,LE10
P55968,TRKR,36,3079,690,IZK35,Recycled plastic,IZ2
Q55969,DO0S,39,8342,1,DVF22,Reegrow,DV6
R55970,AT2X,1,30930,51,LEJ30,Recycleable,LE21
S55971,AT2O,202,97534975,1,IXR21,Recycled,IX0
T55972,TRK4,37,97528,308,GJN48,PFC free,GJ11
U55973,AT2E,1,30302,1,EPJ38,Not Applicable,EP25
V55974,M3X,209,975348,20,WI055,PFC free,WI20
W55975,M3X,44,975348,1,BTI36,Low carbon footprint,BT15
X55976,TRK4,16,9758975,1,DBI05,Reegrow,DB4
Y55977,AT27,1,3095,100,JDY85,PFC free,JD7
Z55978,TRFZ,217,975530,400,FYX69,Recycled,FY1
A55979,TRLA,13,3079,342,EFH36,Recycled,EF16
B55980,TRK4,252,303034,600,IB823,Low carbon footprint,IB4
C55981,TRK4,16,9758975,1,IB115,Recycleable,IB4
D55982,DO07,39,303034,275,EBN72,Recycleable,EB18
E55983,TRKY,254,303034,456,FBC12,Recycled,FB24
F55984,TRK4,39,3099,20,GMN51,PFC free,GM5
G55985,TRK7,21,3099,471,IXX77,Low carbon footprint,IX19
H55986,DO07,14,30305,100,IOZ69,Recycleable,IO20
I55987,M3X,267,975348,40,A9738,Low carbon footprint,A91
J55988,AT35,104,9759758,320,HJU26,Recycled,HJ21
K55989,DO07,21,303030,1,JKI15,Recycleable,JK12
L55990,AT2E,1,30302,1,GEX10,Recycleable,GE18
M55991,M3X,76,975349,302,HGM45,Recycleable,HG0
N55992,M3X,61,975349,100,HJ878,Organic materials,HJ23
O55993,DO07,14,8342,100,BTL66,Primeblue nylon,BT10
P55994,TRK4,14,3097,423,KZB17,Recycleable,KZ23
Q55995,TRZ0,14,83430,1,31862,Recycled,3123
R55996,AT2E,1,975306,1,EPE84,Recycleable,EP3
S55997,AT2E,1,9752975,252,GVU33,Low carbon footprint,GV6
T55998,AT2O,1,9752975,1,ENJ53,Recycleable,EN15
U55999,TRK4,37,975342,415,BER58,Reegrow,BE18
V56000,DO01,30,9759758,100,KZD48,Organic materials,KZ14
W56001,PRYS,254,30834,1,FWU82,Not Applicable,FW8
X56002,DO07,39,303030,35,DVH71,Primeblue nylon,DV3
Y56003,TRK4,219,30305,1,DBE10,Recycled,DB13
Z56004,AT39,104,9759758,1,FWV73,Recycleable,FW15
A56005,TRMB,15,3099,100,KYA83,Primeblue nylon,KY10
B56006,AT51,1,30308,100,13310,Organic materials,136
C56007,M3X,36,897534,100,LSL20,Primeblue nylon,LS3
D56008,DO07,267,303030,35,EMB46,PFC free,EM9
E56009,TRK4,24,3099,1,LGH91,Reegrow,LG7
F56010,TRK4,30,897534,1,EPI62,Recycled,EP7
G56011,TRVF,217,8342,20,KOQ89,PFC free,KO5
H56012,AT2E,1,309975,600,FXI61,Reegrow,FX0
I56013,DO07,66,30307,210,IOZ02,Primeblue nylon,IO7
J56014,AT4Y,1,30308,100,EKC86,Recycleable,EK11
K56015,TRK4,14,97528,1,JAC61,Recycled plastic,JA8
L56016,PRJP,21,8342,616,22441,Reegrow,2218
M56017,TRK4,177,303030,26,24893,PFC free,2417
N56018,AT59,1,3030975,360,JAG93,Recycleable,JA20
O56019,AT2Q,104,9759758,1,FBA45,Reegrow,FB21
P56020,TRK7,37,3099,1,LDJ21,Low carbon footprint,LD6
Q56021,TRKF,267,9759758,1,66255,Recycled plastic,665
R56022,AT2E,1,3085,1,BTL66,Recycleable,BT7
S56023,AT2E,1,9752975,1,24123,Recycled plastic,2422
T56024,AT39,104,9759758,1,GUO73,Organic materials,GU19
U56025,DO01,219,303030,1,IWO37,Organic materials,IW21
V56026,AT2E,1,8230,100,GLC11,Low carbon footprint,GL10
W56027,TRVF,39,8342,20,FBA59,Recycled plastic,FB8
X56028,AT2E,1,30302,100,KZP50,PFC free,KZ17
Y56029,AT2Q,3,3096,1,69241,Recycleable,6914
Z56030,AT2Q,104,9759758,440,GWD78,Recycled,GW22
A56031,TRFZ,39,3079,468,DBB43,Vegan,DB3
B56032,M3X,4,9759756,56,KZO61,Not Applicable,KZ3
C56033,DO01,39,342975,1,KZX04,Recycled,KZ24
D56034,TRK7,37,30305,1,FWW12,Primeblue nylon,FW12
E56035,TRFU,288,975534,1,FWT62,Vegan,FW9
F56036,AT2E,1,30302,1,GTF09,Primeblue nylon,GT12
G56037,TRK4,37,975530,1,FBB42,Not Applicable,FB0
H56038,AT2E,1,975306,443,FWM57,Recycled,FW4
I56039,M3X,44,975348,824,FSG77,Not Applicable,FS15
J56040,AT2G,202,30342,1,LGI26,Organic materials,LG12
K56041,AT2E,1,9752975,1,KXQ40,Organic materials,KX12
L56042,TRFU,31,303034,1,LDW23,Reegrow,LD14
M56043,AT2E,1,3030975,1,14871,PFC free,1420
N56044,TRK7,39,3097,35,FWJ14,Primeblue nylon,FW25
O56045,AT2E,1,30302,1,JPS23,Recycled,JP13
P56046,M3X,15,3099,1,GOG00,Not Applicable,GO25
Q56047,TRK7,267,3099,408,21616,Not Applicable,2116
R56048,M3X,39,9759758,20,CFB25,Recycled plastic,CF5
S56049,M3X,36,9758975,683,EOT82,Recycled,EO17
T56050,AT2Q,3,3096,400,HJ074,Low carbon footprint,HJ25
U56051,DO07,14,9758975,1,LSP19,Primeblue nylon,LS5
V56052,AT2E,1,9752975,827,LEG31,PFC free,LE7
W56053,AT2X,1,30302,610,KYQ93,Vegan,KY4
X56054,AT2E,1,3030975,1,FBD15,Recycleable,FB21
Y56055,AT2E,1,3030975,301,DQU68,Low carbon footprint,DQ24
Z56056,M3X,79,975349,30,A2557,PFC free,A24
A56057,AT2E,1,97522,100,KXO50,Primeblue nylon,KX4
B56058,TRG0,205,83430,1,GTF08,Primeblue nylon,GT7
C56059,AT2E,1,3030975,1,CN266,Not Applicable,CN5
D56060,TRK4,14,97526,1,36184,Low carbon footprint,366
E56061,TRK4,216,3099,610,28551,Recycleable,281
F56062,DO75,44,303034,1,IYD59,Organic materials,IY4
G56063,AT2B,1,30308,33,QC119,Organic materials,QC11
H56064,DO07,205,8342,1,IYW21,Recycled plastic,IY17
I56065,TRK4,14,97526,400,BTB36,Vegan,BT10
J56066,DO05,44,303034,997,25356,Recycleable,252
K56067,ATI8,110,30302,100,14006,PFC free,148
L56068,AT2E,1,9752975,328,AV208,PFC free,AV18
M56069,TRFU,251,975534,506,GLO15,Recycled,GL12
N56070,TRK4,14,3097,100,CDR09,Recycleable,CD23
O56071,TRK7,267,9759758,1,FCA08,Recycleable,FC23
P56072,AT4Y,161,3030975,303,IYD47,Primeblue nylon,IY4
Q56073,DO07,205,30345,1,BAW74,Vegan,BA4
R56074,DO3Y,209,3099,22,DBC43,Reegrow,DB8
S56075,M3X,79,30307,472,GVP04,Recycleable,GV5
T56076,AT2E,1,97522,261,A6268,Recycleable,A617
U56077,TRK4,177,303030,1,WF439,Not Applicable,WF6
V56078,M3X,91,975349,400,AV199,Primeblue nylon,AV9
W56079,AT2E,1,3092,1,EPD90,Organic materials,EP10
X56080,AT2F,161,3030975,273,IXX09,PFC free,IX24
Y56081,AT2X,1,3098,100,DVE38,Recycled,DV13
Z56082,AT2O,1,8348,1,JIB96,Reegrow,JI23
A56083,TRFP,19,342975,690,GLL30,Low carbon footprint,GL15
B56084,AT2X,1,3095,654,CDR38,Low carbon footprint,CD3
C56085,AT2E,1,30934,1,LOW95,PFC free,LO13
D56086,AT2F,1,3428,33,GVP92,Primeblue nylon,GV5
E56087,AT2E,1,3092,308,28496,Low carbon footprint,2822
F56088,TRGM,56,822,471,IDE47,Organic materials,ID10
G56089,AT2F,1,30302,1,GLD71,Recycled,GL11
H56090,AT2O,1,8348,1,GEQ44,Reegrow,GE11
I56091,AT3O,1,30302,1,FWX05,Organic materials,FW9
J56092,AT2E,1,309975,100,FUD20,Vegan,FU19
K56093,TRK4,14,9759758,1,29893,Vegan,297
L56094,TRK4,39,975342,1,IKJ99,Not Applicable,IK8
M56095,TRK4,14,878,714,KZC93,Not Applicable,KZ22
N56096,M3X,191,9759756,100,IXZ15,Not Applicable,IX10
O56097,AT2E,1,9752975,1,HJ068,Low carbon footprint,HJ14
P56098,TRK4,252,30305,689,29456,Not Applicable,2924
Q56099,DO1X,43,3078,471,IYN24,Low carbon footprint,IY20
R56100,AT2E,1,309975,99,IHY00,PFC free,IH16
S56101,AT2Y,1,30934,689,DBB18,Primeblue nylon,DB7
T56102,AT2M,1,9752975,100,IDE45,Organic materials,ID25
U56103,TRK4,267,303030,997,KXO69,PFC free,KX6
V56104,AT28,1,3030975,1,IWP25,Recycled plastic,IW3
W56105,AT4P,1,3030975,150,GEC69,Low carbon footprint,GE3
X56106,DO07,21,303030,35,LEC70,Recycled plastic,LE7
Y56107,PRR0,14,3079,342,IXX78,PFC free,IX22
Z56108,AT40,1,30302,100,LET32,Reegrow,LE25
A56109,M3X,24,975348,1,FWX48,Not Applicable,FW10
B56110,DO07,14,303030,35,EPD53,Reegrow,EP4
C56111,AT3H,1,30930,100,IZU12,Reegrow,IZ24
D56112,AT2E,1,3030975,625,EPB57,Recycled plastic,EP6
E56113,TRK4,14,975530,100,HFB11,Reegrow,HF5
F56114,AT2O,106,89757,100,GWA78,Low carbon footprint,GW4
G56115,AT2F,161,3030975,1,IPA49,Vegan,IP23
H56116,AT2F,161,3030975,1,FSD53,Recycled plastic,FS16
I56117,AT2O,1,3428,1,AT137,PFC free,AT17
J56118,DO31,252,303030,424,LEP49,Recycleable,LE12
K56119,M3X,39,9759758,610,FUB53,Not Applicable,FU8
L56120,TRK7,216,3079,22,JAC20,Organic materials,JA22
M56121,TRK4,16,897530,46,LDT44,Reegrow,LD7
N56122,AT2E,1,97522,1,BUJ02,Recycled,BU7
O56123,AT4I,1,3030975,1,IXT97,Vegan,IX25
P56124,PRJN,29,975346,689,KZA43,Not Applicable,KZ15
Q56125,AT2E,1,9752975,100,LDQ07,Vegan,LD1
R56126,AT4T,104,89757,1,GVT86,Low carbon footprint,GV9
S56127,AT2E,1,3030975,1,IB120,PFC free,IB18
T56128,M3X,267,975348,35,GLG09,Organic materials,GL9
U56129,TRK7,217,3079,1,GTA16,Recycled plastic,GT9
V56130,DORC,66,3086,100,JLA48,Recycled,JL7
W56131,DO3Y,209,3099,35,TZ455,PFC free,TZ21
X56132,TRK4,14,97528,1,FZH29,Organic materials,FZ9
Y56133,AT2E,1,885,100,IPH05,Low carbon footprint,IP3
Z56134,TRK4,252,303034,997,KZB15,Primeblue nylon,KZ25
A56135,AT2X,1,3098,1,ION05,Low carbon footprint,IO14
B56136,AT2E,1,9752975,100,DVH50,Low carbon footprint,DV9
C56137,M3X,16,9758975,700,IYC67,Low carbon footprint,IY0
D56138,TRHA,21,342975,69,LGE48,Vegan,LG8
E56139,AT2E,1,9752975,1,GVN56,Recycled,GV0
F56140,AT2E,1,885,100,FWY45,PFC free,FW4
G56141,AT2E,1,97534975,1,FUG69,Low carbon footprint,FU3
H56142,M3X,39,9759758,1,KXM92,Recycled,KX13
I56143,M3X,39,897530,1,JJT71,Low carbon footprint,JJ24
J56144,TRKY,43,3078,1,GUO73,Recycled,GU22
K56145,PRR2,21,975348,400,BG799,Vegan,BG18
L56146,ATMU,1,3092,100,HKM41,Organic materials,HK8
M56147,AT2E,1,9752975,1,DRC41,Primeblue nylon,DR8
N56148,AT6X,1,3428,100,EOY66,Recycled plastic,EO19
O56149,PRDF,216,303034,305,FUG19,Organic materials,FU24
P56150,M3X,91,975349,650,JLT83,Organic materials,JL9
Q56151,M3X,73,975349,339,LGI07,Organic materials,LG0
R56152,AT2Q,3,3096,51,GTD54,Recycled plastic,GT16
S56153,PRUD,217,83430,650,IYN64,Organic materials,IY17
T56154,TRKF,267,30305,1,ILC88,Recycled,IL17
U56155,DO01,21,878,1,KZS33,Organic materials,KZ5
V56156,TRK4,14,975530,80,FWI11,PFC free,FW10
W56157,TRG2,16,9758975,800,16560,Recycleable,169
X56158,TRVF,39,83430,1,FRU81,Low carbon footprint,FR20
Y56159,DO04,36,886,100,GVU39,Reegrow,GV16
Z56160,AT2E,1,9752975,1,24345,Primeblue nylon,247
A56161,TRZR,252,303034,650,FUZ55,Organic materials,FU7
B56162,DO07,205,8342,330,HJ877,Not Applicable,HJ7
C56163,DO5W,44,3079,665,EBN72,Low carbon footprint,EB19
D56164,AT2X,1,3095,100,22120,Recycled,2219
E56165,DO01,220,878,99,HFW49,Not Applicable,HF8
F56166,DO01,37,975342,685,KEC95,Not Applicable,KE14
G56167,AT2O,1,3085,40,FKN75,Recycled plastic,FK17
H56168,TRK4,261,97526,1,ISB48,Primeblue nylon,IS10
I56169,DO04,43,975530,1,GUU17,Not Applicable,GU13
J56170,TRK4,216,303034,1,GUZ93,Recycleable,GU12
K56171,AT2Q,3,3096,99,DUZ26,Vegan,DU22
L56172,DO07,14,303030,1,LAM30,Not Applicable,LA18
M56173,DO07,205,975342,1,LGB31,Low carbon footprint,LG7
N56174,AT4T,104,9759758,1,13196,Recycleable,138
O56175,AT2E,161,3030975,100,HIM16,Low carbon footprint,HI6
P56176,TRGG,117,30345,400,GVP74,Primeblue nylon,GV17
Q56177,AT28,161,30308,100,IPB80,Vegan,IP24
R56178,AT2Y,1,3092,1,GZP31,Organic materials,GZ11
S56179,AT2M,1,9752975,328,JKH16,Low carbon footprint,JK2
T56180,DO07,39,303030,1,FRU77,Vegan,FR18
U56181,TRFP,19,34230,423,GLB36,Recycled,GL13
V56182,DO07,14,3099,100,LDS02,Primeblue nylon,LD8
W56183,TRK4,19,342975,465,GER64,Primeblue nylon,GE6
X56184,AT2E,1,30302,100,JDG22,Reegrow,JD17
Y56185,ATMI,1,307975,1,LEU36,Vegan,LE12
Z56186,AT2W,1,3030975,620,IXU72,Recycled plastic,IX13
A56187,AT2O,202,8348,1,FSD97,Low carbon footprint,FS4
B56188,AT2R,1,9752975,150,GLO23,Vegan,GL8
C56189,AT2E,1,9752975,1,EPE82,Recycleable,EP20
D56190,DO1C,39,303030,612,GZQ51,Recycled,GZ20
E56191,DO07,166,30307,100,GZU17,Primeblue nylon,GZ21
F56192,DO0S,34,303034,1,FUG19,Organic materials,FU1
G56193,TRK7,51,30305,400,FSB84,PFC free,FS22
H56194,AT2E,1,97522,100,JDH59,Recycleable,JD5
I56195,AT2E,1,30302,1,DVH50,PFC free,DV1
J56196,AT2E,1,97522,1,IXV64,PFC free,IX2
K56197,ATPE,1,3030975,1,DBI07,Recycled plastic,DB11
L56198,TRK4,13,97528,650,KYJ74,Recycleable,KY13
M56199,TRK4,39,3099,408,IZB95,Recycled,IZ0
N56200,AT2E,1,97534975,1,HGV35,Organic materials,HG23
O56201,DO07,14,303034,35,FSM51,Organic materials,FS15
P56202,TRFU,288,975534,1,LGI26,PFC free,LG18
Q56203,AT2E,1,3030975,415,IUD57,Not Applicable,IU16
R56204,DO07,205,9758975,1,IZH74,Recycleable,IZ9
S56205,AT5E,106,9759758,517,GOQ89,Recycled,GO9
T56206,AT2X,1,30930,275,LDC79,Recycled,LD12
U56207,AT2X,1,9752975,1,EJZ57,Recycled,EJ8
V56208,AT2Q,104,9759758,100,GSV87,Recycled,GS0
W56209,AT61,104,9759758,400,JII02,Vegan,JI3
X56210,AT2O,1,3030975,20,GNG31,Primeblue nylon,GN10
Y56211,AT2F,1,3030975,100,GUN01,Primeblue nylon,GU25
Z56212,DO07,14,8342,100,FJU16,Organic materials,FJ24
A56213,TRFU,288,975534,100,GLC06,Not Applicable,GL4
B56214,AT39,104,9759758,400,IXY14,Primeblue nylon,IX8
C56215,TRKD,45,975534,400,23769,Organic materials,234
D56216,AT2O,1,8348,100,BSV89,Low carbon footprint,BS17
E56217,AT2L,106,9759758,1,KXL95,Organic materials,KX10
F56218,TRFU,44,9759758,1,LGA23,Low carbon footprint,LG19
G56219,AT2E,1,975234,1,GVV39,Reegrow,GV5
H56220,AT2E,1,885,1,LDN24,Recycled,LD24
I56221,AT2E,1,3092,1,KZV15,Recycled,KZ10
J56222,TRK4,216,30305,51,IZG38,Organic materials,IZ7
K56223,AT3H,1,30930,1,FBC17,Not Applicable,FB17
L56224,AT2E,1,9752975,1,WF031,Low carbon footprint,WF19
M56225,AT2E,1,3092,650,LSP19,Recycled plastic,LS20
N56226,AT2V,1,30308,1,KCM94,Recycled plastic,KC23
O56227,AT2E,161,3030975,1,HJ844,Primeblue nylon,HJ1
P56228,AT2E,1,97522,100,LGI07,Not Applicable,LG18
Q56229,DO07,205,3099,610,FBG85,Recycled,FB4
R56230,PR0G,44,975530,1,KGD37,Recycled plastic,KG7
S56231,TRK4,16,9758975,100,FYY79,Recycled,FY20
T56232,AT2X,1,3095,100,GNS07,Not Applicable,GN23
U56233,AT2E,1,30308,1,KXP91,Recycled,KX7
V56234,AT2Y,1,3098,408,JQ435,Reegrow,JQ11
W56235,TRKF,37,30305,400,GVQ51,Organic materials,GV0
X56236,TRKR,217,3079,342,29434,Organic materials,290
Y56237,AT2X,1,30302,1,GSZ78,Low carbon footprint,GS8
Z56238,AT26,1,9759758,100,FBE28,Recycled plastic,FB20
A56239,DO07,205,975342,20,KYQ94,Recycled plastic,KY3
B56240,AT29,1,3030975,100,26753,Recycled,2619
C56241,AT2E,1,30302,100,HEZ97,Low carbon footprint,HE16
D56242,AT2B,106,89757,1,KXQ40,Recycled,KX20
E56243,TRK4,21,97526,26,GHM60,Low carbon footprint,GH6
F56244,M3X,39,897534,600,DBE84,Organic materials,DB6
G56245,AT2O,106,9759758,1,FYR51,Primeblue nylon,FY4
H56246,PRR2,39,3099,1,27865,Vegan,2724
I56247,AT4T,104,89757,100,DKQ92,Recycled,DK11
J56248,AT2E,1,30934,506,EKC91,Low carbon footprint,EK13
K56249,DOBV,168,975349,1,JDH63,Vegan,JD13
L56250,TRK7,267,303030,36,GLL78,Vegan,GL12
M56251,AT2E,1,975234,506,LSS99,Reegrow,LS22
N56252,AT2M,1,89975,400,DVE84,Recycleable,DV5
O56253,PRR2,217,3099,1,IZO56,Primeblue nylon,IZ8
